hr,sys,dia,spo2,stress
85,125,85,94,2
77,110,71,95,2
76,112,77,94,2
80,131,76,96,1
71,130,73,99,0
83,116,88,94,2
109,120,84,98,2
81,113,74,96,1
71,128,71,98,0
79,110,78,99,1
89,125,73,99,1
95,114,81,100,1
71,126,74,95,2
93,133,82,94,2
110,126,78,100,2
96,125,70,95,2
67,110,76,99,0
77,132,83,100,1
68,134,73,94,2
83,112,76,100,1
105,134,85,99,2
103,123,88,98,2
85,125,85,98,1
78,126,88,98,1
110,129,88,100,2
77,116,75,94,2
64,118,74,98,0
106,124,71,98,2
67,131,77,97,0
97,132,78,100,2
109,135,90,96,2
73,117,75,98,0
95,121,85,96,1
97,133,82,97,2
73,124,72,97,0
74,129,74,95,2
106,123,72,95,2
88,115,77,99,1
77,114,84,99,1
99,115,87,94,2
108,113,82,94,2
84,113,87,97,1
76,117,81,100,1
71,134,83,99,0
80,112,81,98,1
73,122,71,96,0
97,119,81,96,2
84,123,78,98,1
65,134,80,94,2
100,114,80,99,2
94,111,74,100,1
65,119,86,95,2
108,130,86,99,2
101,117,79,97,2
83,123,87,98,1
68,130,85,99,0
106,114,85,99,2
90,113,90,100,1
110,113,85,99,2
101,115,73,94,2
93,130,84,99,1
108,114,75,94,2
92,114,71,95,2
70,135,87,97,0
83,134,86,100,1
91,128,87,99,1
73,135,70,98,0
75,113,89,99,0
62,113,79,100,0
107,126,72,99,2
110,124,85,95,2
81,121,83,94,2
70,120,88,99,0
75,114,82,97,0
61,118,89,95,2
96,127,73,95,2
64,113,82,96,0
103,120,74,97,2
67,132,83,94,2
83,130,81,95,2
94,112,73,99,1
71,124,84,99,0
93,133,88,96,1
98,132,82,98,2
72,128,89,98,0
86,125,72,97,1
67,124,89,97,0
91,122,76,95,2
75,110,78,96,0
96,132,85,97,2
86,113,89,100,1
97,114,90,97,2
88,133,89,99,1
101,123,73,94,2
97,121,78,95,2
71,132,78,98,0
109,131,72,94,2
62,131,78,99,0
81,110,83,94,2
80,131,75,98,1
71,130,86,96,0
109,121,76,95,2
80,127,72,96,1
105,123,77,100,2
72,112,83,94,2
87,126,71,95,2
76,115,82,98,1
81,133,76,97,1
104,111,77,97,2
65,125,71,96,0
97,118,86,94,2
110,120,74,97,2
67,125,78,99,0
74,115,87,97,0
85,125,73,94,2
92,127,70,95,2
80,119,79,100,1
75,115,81,98,0
86,115,70,94,2
86,113,72,100,1
74,123,90,97,0
80,128,78,99,1
66,131,87,95,2
76,120,85,99,1
67,126,76,95,2
90,130,87,97,1
106,129,72,98,2
68,117,74,100,0
88,122,86,99,1
77,116,79,97,1
60,110,89,98,0
88,122,89,96,1
108,120,71,100,2
67,114,82,97,0
62,113,76,96,0
61,126,70,100,0
86,115,86,99,1
60,130,71,99,0
68,135,86,100,0
91,118,84,100,1
107,131,72,94,2
69,128,89,100,0
104,125,76,99,2
63,114,76,95,2
95,118,79,100,1
71,122,77,100,0
100,123,76,96,2
85,131,77,97,1
71,126,86,100,0
66,135,83,96,0
77,134,85,100,1
77,130,76,95,2
86,129,85,99,1
103,116,87,95,2
80,124,70,98,1
93,126,80,98,1
62,119,86,97,0
74,133,78,100,0
76,122,82,97,1
82,111,70,95,2
76,132,80,100,1
85,110,75,98,1
98,126,87,96,2
90,121,72,94,2
102,110,79,98,2
69,126,77,96,0
81,129,86,96,1
78,112,77,97,1
97,131,83,99,2
85,120,85,97,1
68,121,86,99,0
99,113,90,99,2
78,131,86,98,1
98,135,77,97,2
90,110,76,96,1
70,130,82,96,0
89,128,70,99,1
68,130,83,95,2
104,113,73,98,2
104,114,76,100,2
65,125,90,100,0
62,118,80,95,2
109,132,82,100,2
88,130,77,99,1
101,115,86,94,2
84,135,81,99,1
76,131,88,100,1
75,110,75,94,2
109,127,88,95,2
100,128,77,100,2
95,120,77,96,1
82,133,72,98,1
77,135,88,95,2
60,120,85,96,0
74,112,78,100,0
65,131,85,98,0
91,121,81,99,1
70,126,84,100,0
79,131,79,99,1
70,110,79,95,2
87,115,88,99,1
74,135,84,98,0
93,115,84,100,1
88,124,87,99,1
89,114,73,95,2
109,131,74,96,2
62,129,79,97,0
89,113,89,100,1
99,115,72,95,2
61,111,70,99,0
81,128,84,97,1
108,116,79,99,2
105,127,71,96,2
70,112,74,98,0
63,111,72,96,0
100,114,81,99,2
104,113,89,96,2
79,129,77,98,1
74,114,73,97,0
82,123,72,94,2
110,127,74,97,2
77,112,73,100,1
96,128,77,97,2
71,115,84,95,2
93,116,79,95,2
91,131,84,100,1
80,133,85,94,2
79,112,71,94,2
102,118,80,96,2
86,123,74,94,2
77,123,79,94,2
72,113,79,98,0
62,131,80,97,0
96,121,71,96,2
78,110,83,97,1
90,130,83,95,2
100,120,81,98,2
68,122,86,97,0
69,118,70,98,0
98,124,80,97,2
102,116,77,94,2
67,128,84,99,0
96,115,85,94,2
102,111,81,97,2
79,127,79,94,2
105,125,88,97,2
106,130,78,95,2
93,130,71,98,1
69,131,75,97,0
86,111,78,100,1
64,112,72,95,2
73,120,72,97,0
68,135,84,99,0
64,133,90,100,0
92,127,72,100,1
90,122,76,100,1
63,132,88,94,2
110,135,70,94,2
65,124,73,96,0
94,113,87,97,1
66,123,74,95,2
110,118,78,95,2
75,135,83,97,0
60,129,90,96,0
101,115,78,100,2
62,115,75,96,0
86,128,80,94,2
75,117,77,100,0
98,129,85,96,2
86,135,81,97,1
83,124,81,95,2
103,126,74,95,2
106,133,74,95,2
62,132,71,94,2
86,125,86,98,1
82,135,84,95,2
85,135,88,94,2
78,131,81,100,1
73,125,74,94,2
105,125,75,99,2
108,130,90,100,2
69,124,73,94,2
76,126,77,95,2
70,112,80,100,0
93,129,82,98,1
102,111,75,95,2
97,135,89,97,2
62,115,88,100,0
108,112,80,94,2
103,132,70,99,2
90,128,73,94,2
68,126,78,95,2
105,116,88,99,2
78,115,85,97,1
102,113,83,99,2
73,114,82,99,0
97,115,73,95,2
70,132,74,94,2
96,113,87,98,2
61,135,80,98,0
90,135,73,94,2
92,110,78,98,1
79,124,79,100,1
61,130,85,95,2
79,132,84,96,1
67,133,75,97,0
69,134,80,99,0
92,110,76,96,1
103,133,89,100,2
67,112,72,99,0
84,134,79,96,1
101,125,87,100,2
65,131,79,98,0
81,113,78,98,1
99,119,85,95,2
105,118,90,99,2
74,130,80,97,0
84,114,79,97,1
90,112,77,94,2
78,130,79,96,1
67,125,90,99,0
106,112,80,97,2
62,117,78,99,0
92,125,82,96,1
100,111,87,95,2
106,110,89,100,2
101,130,86,94,2
71,133,78,99,0
84,131,85,100,1
99,125,83,97,2
79,125,88,100,1
75,131,77,99,0
86,114,82,96,1
105,135,86,96,2
92,132,77,94,2
65,120,90,99,0
102,116,87,98,2
65,126,87,97,0
110,121,83,97,2
106,114,83,96,2
66,110,86,95,2
69,125,70,98,0
77,134,75,97,1
62,126,75,94,2
94,135,77,94,2
109,122,75,98,2
95,126,86,96,1
99,121,78,97,2
70,114,82,98,0
61,131,72,94,2
70,111,77,100,0
84,125,87,95,2
72,120,90,95,2
73,130,87,98,0
101,124,78,94,2
71,128,78,96,0
93,111,72,94,2
79,132,90,94,2
85,124,83,99,1
89,117,85,96,1
71,135,77,94,2
62,119,78,99,0
97,111,83,97,2
64,131,75,99,0
86,111,87,96,1
61,119,85,100,0
100,110,76,94,2
67,119,85,98,0
99,133,79,99,2
86,118,86,96,1
95,113,81,96,1
95,127,78,97,1
62,116,76,98,0
77,125,74,95,2
90,122,72,94,2
72,126,82,96,0
68,127,74,97,0
84,129,86,99,1
77,112,76,98,1
99,111,74,98,2
99,130,70,96,2
86,129,75,97,1
73,110,73,95,2
103,115,83,98,2
62,124,72,94,2
89,120,84,99,1
96,116,79,100,2
81,119,74,94,2
91,113,79,100,1
84,133,77,98,1
100,129,78,97,2
95,110,80,95,2
109,118,89,96,2
60,113,88,94,2
99,114,90,95,2
88,121,90,95,2
73,134,85,94,2
96,115,88,97,2
83,120,82,94,2
103,128,76,96,2
